code_region;region;code_ancienne_region;ancienne_region;code_departement;departement;grand_secteur_d_activite;annee;trimestre;dernier_jour_du_trimestre;effectifs_salaries_brut;a_jour;sexe_majoritaire
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2002;3;30/09/2002;3581;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2003;1;31/03/2003;2898;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2003;2;30/06/2003;3300;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2003;4;31/12/2003;3198;Oui;F
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2004;1;31/03/2004;2986;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2004;3;30/09/2004;3384;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2004;4;31/12/2004;2974;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2006;1;31/03/2006;3332;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2007;1;31/03/2007;4077;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2007;2;30/06/2007;4413;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2007;3;30/09/2007;4193;Oui;F
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2009;3;30/09/2009;2936;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2009;4;31/12/2009;2956;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2010;1;31/03/2010;3135;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2013;1;31/03/2013;3001;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2014;2;30/06/2014;3868;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2014;4;31/12/2014;3311;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2015;2;30/06/2015;4053;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2017;2;30/06/2017;5067;Oui;F
