code_region;region;code_ancienne_region;ancienne_region;code_departement;departement;grand_secteur_d_activite;annee;trimestre;dernier_jour_du_trimestre;total_salaire_brut;a_jour
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2000;1;31/03/2000;79341876;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2000;4;31/12/2000;91362071;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2002;1;31/03/2002;89109982;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2004;1;31/03/2004;95247620;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2004;2;30/06/2004;99536976;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2004;4;31/12/2004;106412559;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2005;3;30/09/2005;99933104;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2006;1;31/03/2006;99531876;O
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2007;3;30/09/2007;102657043;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2008;4;31/12/2008;119990803;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2009;1;31/03/2009;108862582;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2009;2;30/06/2009;111592930;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2010;1;31/03/2010;112528416;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2011;2;30/06/2011;121113283;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2011;3;30/09/2011;116577223;Oui
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2012;4;31/12/2012;131737043;Oui
